phrase	snomed_id	similarity
fatigue 2years	60119000	0.599519
gp afterwards	60119000	0.23711765
bloods n visits i	60119000	0.20429033
awful headaches	60119000	0.28086275
brain fog	60119000	0.39136901
cfs aswell hope	60119000	0.16805333
street temazepam	32914008	0.33257923
withdrawal symptoms	32914008	0.33172625
restless leg syndrome	32914008	0.803644
muscle tension	250069006	0.99999994
muscle tension	60238002	0.63164425
blood sugar	224960004	0.3230742
hid cholesterol	224960004	0.17919128
blood sug	224960004	0.35074028
lis legs	224960004	0.20745388
update ... .on 10mg	224960004	0.13221298
left arm	224960004	0.2636783
full daily dosage	51197009	0.07678014
arthritic medication	51197009	0.21329923
arthrtitic medications	51197009	0.20588599
digestive system and/or stomach cramps	51197009	0.7201201
'third lid	224960004	0.10025126
'dry eye	224960004	0.30209756
counter eye drops	224960004	0.16262455
blurry eyes	224960004	0.38631302
ca n't	224960004	0.07919715
copd	262286000	0.2215721
lung function	262286000	0.22016753
spirometry tests	262286000	0.26896584
lung age	262286000	0.20773146
weight issue	262286000	0.67552567
gp	262286000	0.16061126
gps	262286000	0.13826789
week referrals	262286000	0.07876782
weight watchers	262286000	0.43859333
food combinations	262286000	0.21224308
portion control etc	262286000	0.25016809
weight gain	262286000	0.737993
healthy food	262286000	0.2512775
xs calories	262286000	0.27054137
gp	262286000	0.16061126
thyroid check	262286000	0.27161968
weight gain	262286000	0.737993
copd	262286000	0.2215721
weight gain	262286000	0.737993
whole body approach.. weight loss	262286000	0.27645612
copd	262286000	0.2215721
far.. > > >	262286000	0.05863342
gp	22298006	0.03487403
tietz syndrome reading	22298006	0.24986674
past 4mths i	22298006	0.06686744
post natel depression	22298006	0.19666292
tablets ..i	22298006	0.16394258
chest pain	22298006	0.38938892
heart damage	22298006	0.42542937
previous heart attack	22298006	0.4826802
rib area	224960004	0.1288846
gallbladder problems	224960004	0.14599788
point extreme	224960004	0.18120643
upper abdoman pains	224960004	0.24068946
hot water bottle	224960004	0.22179307
hida scan	224960004	0.026245
x ray etc	224960004	0.08969815
old ulcer scar	224960004	0.07633969
oral morph	224960004	0.19438305
pain killers werent	224960004	0.25784546
ibs	224960004	0.10638386
bowel movents	224960004	0.0869638
stomach cramps	224960004	0.28500217
right ribs	224960004	0.27352646
pain wakes	224960004	0.3571971
gall stones	224960004	0.07018914
hip pain	49218002	1.0000001
small blood blisters	224960004	0.14226198
drs	224960004	0.17954916
blood test	286641001	0.24734119
blood test	224960004	0.2722478
liver enzymes	286641001	0.20174265
liver enzymes	224960004	0.11794845
diagnoses	286641001	0.23802046
diagnoses	224960004	0.09953795
gi liver specialist	286641001	0.11049181
gi liver specialist	224960004	0.02471347
mri	286641001	0.17503929
mri	224960004	0.11358822
immuran	286641001	0.27666956
immuran	224960004	0.3043643
immuran	286641001	0.27666956
immuran	224960004	0.3043643
rare disease	286641001	0.23072428
rare disease	224960004	0.17571658
hashimotos	286641001	0.11676361
hashimotos	224960004	0.19111013
upper chest	286641001	0.14430532
upper chest	224960004	0.25034413
autoimmune diseases	224960004	0.11556041
maintanece dose	224960004	0.15457058
greek yoghurt	224960004	0.12062603
turbo charge	60119000	0.20592721
turbo charge	224960004	0.02175189
insulin intake	60119000	0.25506717
insulin intake	224960004	0.15864956
flare ups	60119000	0.2553378
flare ups	224960004	0.11215734
feeling icky	60119000	0.34799165
feeling icky	224960004	0.52065927
liver biopsy	162059005	0.28206718
liver biopsy	224960004	0.09702662
inconclusive ..	162059005	0.3713625
inconclusive ..	224960004	0.2916126
1x wk	162059005	0.12112163
1x wk	224960004	0.17097414
upset stomach	162059005	1.
upset stomach	224960004	0.33185658
blood pressure drops..	162059005	0.2931776
blood pressure drops..	224960004	0.23987558
liver enzymes	162059005	0.31881815
liver enzymes	224960004	0.11794845
ca n't	40917007	0.13866054
excellent whole foods	40917007	0.0388745
med	60119000	0.12780604
incisional hernia	224960004	0.0346193
hernia surgery	224960004	0.07123876
new hernia	60119000	0.15526271
baby boy	224960004	0.14060704
post natal depression	224960004	0.20513502
tmi	224960004	0.2859888
sensations n	90673000	0.39327508
left arm	90673000	0.27231628
numb n	90673000	0.30913547
sweaty pains n alot	90673000	0.41205007
im layong	224960004	0.2290005
getvpain n	224960004	0.08255002
jaws n	224960004	0.10369294
crap 2weeks	90673000	0.1840708
cold palms	90673000	0.368661
slight hh	90673000	0.15152854
acid reflux	90673000	0.4240635
chest pains	90673000	0.45476815
kidney stones	90673000	0.3700722
acidy ie fruit	90673000	0.1113801
intense pain	90673000	0.53333265
orange juice ice	90673000	0.1960412
60mg lansoprazole	90673000	0.14358817
helicobacter pylori	90673000	0.27285138
endoscopy guys	90673000	0.26744425
helicobacter pylori	90673000	0.27285138
small hh	90673000	0.11270238
slight hh	90673000	0.15152854
doc 's	90673000	0.09700591
wo n't re test	90673000	0.12894715
headaches etc	224960004	0.32702473
's thumbs	224960004	0.14444841
initual trick	224960004	0.23664756
breast cancer	224960004	0.19131722
gp	224960004	0.11459977
swollen ankles	224960004	0.30321294
emergency appt	224960004	0.15851477
gp	224960004	0.11459977
's sheer hell	224960004	0.15122727
beta blockers i	224960004	0.06502636
panic attacks	224960004	0.22476923
fatigue chest pressure stomach trouble	224960004	0.35578644
negative thoughts	224960004	0.27588856
hot flushes	224960004	0.287186
chest breath digestion pain everytime	22298006	0.16485578
heart area chest discomfort	22298006	0.34991485
digestion problem	22298006	0.12363662
feeling problem digestion	22298006	0.08188926
heart attack brain hemorrhage	22298006	0.52571476
cardiac arrest	22298006	0.5630948
breath pain	22298006	0.14413735
dizzy pain	22298006	0.11512092
chest whenevr i	22298006	0.2004939
sever form	22298006	0.18841916
digestion problem	22298006	0.12363662
heart races	22298006	0.25892955
post op	10601006	0.1638263
leg pain	10601006	0.6528692
neurosurgeon outpatients	10601006	0.13936238
commence rehab physio	10601006	0.21547768
local spinal unit	10601006	0.19710614
crowborough	10601006	0.06139363
'm okay	10601006	0.08449422
leg pain	10601006	0.6528692
's hip pain	10601006	0.50427437
ugh ... sounds	250069006	0.1691249
absolute non-issue	250069006	0.0677235
vaginal inflammation	250069006	0.3012902
phyiso	271587009	0.32019213
weight gain	262286000	0.737993
stomach rpoblems	262286000	0.22036411
psych	262286000	0.20964828
limbo land till	262286000	-0.06700042
friends bi polar	262286000	0.08607917
weight gain	262286000	0.737993
ex bulimic didnt	262286000	0.23979667
bad body issues	262286000	0.24254632
ibs symptoms	40917007	0.15016006
gp	40917007	0.03917112
depressive symptoms	40917007	0.26439896
yr brain chemicals	224960004	0.11337929
chronic insomnia	224960004	0.30330402
depression	224960004	0.36981618
root canal	224960004	0.16493271
new symptom	262286000	0.31341594
huge stomach	262286000	0.21540944
stomach area	262286000	0.17291439
gp	262286000	0.16061126
acid reflux	262286000	0.21953192
celiac test	262286000	0.21284868
gluten test	262286000	0.22947435
ovarian cyst	262286000	0.2202301
tiny muscle twitches	60238002	0.7465124
muscle pulse	60238002	0.645645
arm twitches	60238002	0.61021423
familial meaning	60238002	0.03858744
corrolate.that im positive.i dont	60238002	0.16307616
motor nueron disease	60238002	0.2798183
self medicate	60238002	0.26910537
self preservation	60238002	0.16275364
cruel disorder	60238002	0.1844101
normal anxiety	60238002	0.29596
panic disorder	60238002	0.29828686
actual biological ohysiolocial experience	60238002	0.1791611
oanic attack.the sciene aspect	60238002	0.07453999
magnesiium foods.avacadoes	60238002	0.25090235
high potassium	60238002	0.41484514
panic attacks	60238002	0.26128787
stress depletes	60238002	0.3691492
muscle twitches	60238002	0.84968257
fibro bcuz	60238002	0.2890485
widespread aches	60238002	0.35011965
benign	60238002	0.24723235
fasciculation syndrome	60238002	0.28060764
brain tumor	60238002	0.33775038
extreme headaches	60238002	0.2850755
visual disturbance	60238002	0.26782143
benign fasciculation syndrome	60238002	0.31622252
muscle twitches	60238002	0.84968257
notice eyelid weakness	60238002	0.26956117
muscle aches	60238002	0.6460242
septic shock	22298006	0.29832655
10wk post op	22298006	0.09535514
chest	224960004	0.34584042
common anxiety symptoms	224960004	0.16546932
relaxation exercises page	224960004	0.20926663
gp	224960004	0.11459977
physical symptoms	224960004	0.27924657
gps	224960004	0.02380519
hi moo88	224960004	0.31717288
sore achy	224960004	0.4034847
bad neck	224960004	0.31173235
major depression	40917007	0.26924586
atorvastatin	22298006	0.25346828
muscle pain	22298006	0.16818796
left arm	22298006	0.27509433
left shoulder	22298006	0.21905926
steroid injections	22298006	0.16345388
similar symtoms	22298006	0.16831565
orthopedics	22298006	0.3373825
physio	22298006	0.2265754
non smoker	22298006	0.1171146
angiogram	22298006	0.6048036
atorvastatin	22298006	0.25346828
muscle pain	22298006	0.16818796
calf	22298006	0.14371619
widowmaker	22298006	0.04105072
coronary	22298006	0.5054829
calcium scan	22298006	0.15671906
preventive diagnosis	22298006	0.23545012
sugar etc	22298006	0.00900011
different statin	22298006	0.27297217
wife 's scan results	426206001	0.13991933
stomach pains	426206001	0.5678036
suffers ..the scan	426206001	0.31262994
kidney failure	426206001	0.27666804
gallstones ..this	426206001	0.3099105
muscular hypertrophy	426206001	0.20201494
's malignant	426206001	0.16505063
pip	426206001	0.1474137
constant pain	426206001	1.0000002
tiredness ..	426206001	0.28422213
azelastine	224960004	0.18669647
bloodshot eyes	224960004	0.34395993
optrex	224960004	0.28294522
stomach discomfort ... ... ..	162059005	0.7960968
stomach discomfort ... ... ..	60119000	0.28800765
gp	26329005	0.16183025
anti-anxiety drugs	26329005	0.25901327
long-term use	26329005	0.28712934
anticonvulsant drugs	26329005	0.36034325
lyrica	26329005	0.13141423
atypical antipsychotics	26329005	0.204697
anxiety symptoms	26329005	0.33270735
cfs/me	40917007	0.10122722
mri	40917007	0.17591788
cfs/me	40917007	0.10122722
mri	40917007	0.17591788
spinal cord	40917007	0.27076274
fibromyalgia	224960004	0.22929238
pain points	224960004	0.27903894
fibro	224960004	0.22830069
memory loss	224960004	0.16177127
everyday feeling yuck	224960004	0.2499794
fibro	224960004	0.22830069
gp	224960004	0.11459977
pain meds cos morphine	224960004	0.11332566
ekg	22298006	0.6045777
heart pounds	22298006	0.28592092
chest pain	22298006	0.38938892
left arm	22298006	0.27509433
anxiety	22298006	0.1909706
heart disease..	22298006	0.482638
week lite duty	53057004	0.13909289
patient portal	53057004	0.19301593
shoulder pain	53057004	0.6524719
doctors visits	53057004	0.22579773
hand pain	53057004	1.
pain medicine	53057004	0.5926294
opinion appt	53057004	0.03224963
severe pain	53057004	0.6925107
ca n't	53057004	0.23441646
non sense	53057004	0.1680443
chilblain sufferer	90673000	0.31576735
stone cottage	90673000	0.17887977
miracle cure	90673000	0.19885592
chilblains	90673000	0.2651242
huge sheepskin fur	90673000	0.13253161
’ style boots	90673000	0.19073774
natural fibre slippers	90673000	0.18355809
scratchy socks	90673000	0.36079538
cold shoes	90673000	0.30982843
breathable shoes	90673000	0.28722066
anaesthetic cream	90673000	0.31975725
uk…it	90673000	0.166975
aloe vera	90673000	0.4075306
good antihistamine	90673000	0.23085915
drowsy however…	90673000	0.16796468
out… sleep heals ….but	90673000	0.21313438
meditate…	90673000	0.21122745
captivates you…	90673000	0.16145599
ginko biloba	90673000	0.09969527
tens machine	10601006	0.29097268
vertebrae fuse	10601006	0.17905712
head pain	10601006	0.5106635
neck pain	10601006	0.46666786
arm pain	10601006	0.5968708
leg pain	10601006	0.6528692
new symptoms	10601006	0.2886514
pain	10601006	0.5397389
left hand side	10601006	0.2210215
new symptom	10601006	0.33757183
pretty anxious feeling chest pains	22298006	0.30458808
heart problem	22298006	0.4300946
drs	22298006	0.14044511
chest discomfort	22298006	0.25321257
total ankle replacement	8510008	0.27320075
toe surgery	8510008	0.21816827
ankle replacement	8510008	0.3276043
hospital post surgery	8510008	0.17802054
subtalar arthrodesis	8510008	0.25425526
rod serling	60238002	0.16463998
rod serling	249966004	0.19209863
meds	60238002	0.26413214
meds	249966004	0.30418253
g.p	224960004	0.11459977
local mental health team	224960004	-0.0074668
ca n't sleep	224960004	0.35959265
ca n't chance	224960004	-0.0097036
cbt	22298006	0.17166655
health anxiety	22298006	0.21634898
physical symptoms	22298006	0.233567
optic nerve pallor	224960004	0.12122069
weird lights	224960004	0.27703846
panic attacks	224960004	0.22476923
periphal vision	224960004	0.16916305
nuero opthamologist	224960004	0.25357473
wrong diagnoses	224960004	0.15147354
optic nerve pallor	224960004	0.12122069
pure experience	224960004	0.2312064
eye specialist	224960004	0.21332988
anxiety	224960004	0.35830438
eye pressure	224960004	0.31599274
trimethoprim	426206001	0.23492292
ciprofloxacin	426206001	0.261437
constant pain	426206001	1.0000002
excellent immune system	426206001	0.16139224
long term antibiotics	426206001	0.32629555
coli bacteria	426206001	0.0959694
lanoprazole	426206001	0.11570199
lanzoprasole	426206001	0.1400623
osteoporosis	426206001	0.18098553
slippery slope	426206001	0.21519692
prescription drug dependency	426206001	0.24488056
blood results	224960004	0.15904695
anxiety disorder	40917007	0.33405033
hundred.so yes	40917007	0.18696395
weird symptoms	40917007	0.24966276
word anxiety	40917007	0.33583346
health anxiety	161873000	0.21274018
short illness.it	161873000	0.394979
50mg setraline	161873000	0.20883778
variant cjd	161873000	0.12264079
heavy legs	161873000	0.9999999
ca n't	161873000	0.04206816
oral steroids	271681002	0.1113754
oral steroids	162059005	0.18991601
prednisone	271681002	0.14166501
prednisone	162059005	0.22301315
prednisone	271681002	0.14166501
prednisone	162059005	0.22301315
signs adrenal insufficiency signs	271681002	0.13395497
signs adrenal insufficiency signs	162059005	0.20847505
moderate stomach ache	271681002	0.7872466
moderate stomach ache	162059005	0.68242437
blood pressure changes	271681002	0.21925995
blood pressure changes	162059005	0.2599407
normal range	271681002	0.16396229
normal range	162059005	0.1929907
n't advise postural drainage	224960004	0.10634705
loosens mucus i	224960004	0.23505643
cough downwards	224960004	0.23265624
tight chest	224960004	0.3449334
peak flow meter	224960004	0.10278456
lung function	224960004	0.13774353
sure asthma	224960004	0.21033558
time steroid tablets	224960004	0.12980205
antibiotics early.my doctor	224960004	0.09366792
sputum analysis.after	224960004	0.24486406
lung function test	224960004	0.11348468
simple peak flow test	224960004	0.19113481
doctors surgery	224960004	0.06243521
full lung fuction test	224960004	0.24342096
gp surgery	224960004	0.05888837
old female	60119000	0.18884628
.5mg 3x	60119000	0.15430462
absence seizures	60119000	0.4323933
72hr ambulatory	60119000	0.28099665
eeg	60119000	0.35124373
upper body	60119000	0.26246068
noticable tremors	60119000	0.30634683
medication market	60119000	0.08354516
's time	60119000	0.19269483
mri	60119000	0.27233058
metabolic epilepsy	60119000	0.41196424
high protein/fat	60119000	0.260988
carb diet	60119000	0.23058677
favourites sweets/alcohol lol	60119000	0.01039702
complex partial mild seizures	60119000	0.23761208
myoclonus jerks	60119000	0.33306307
hormones okay	60119000	0.1817927
gp	60119000	0.25269535
heart catherization	22298006	0.46972665
mirmal heart cath	22298006	0.4118352
's possble	22298006	0.02178735
hiatus hernia	224960004	0.08417039
n't keen	224960004	0.27190226
surgery route	224960004	0.12521356
pro 's	224960004	0.05729786
con 's	224960004	0.08562523
24hr ph test	224960004	0.1626938
massive acid reflux	224960004	0.15094684
strict diet	224960004	0.27173424
ca n't	224960004	0.07919715
major flare	60119000	0.15112397
wit 's end	60119000	0.26100552
beyound word 's	60119000	0.2329571
ca n't	60119000	0.15853156
fev1	40917007	0.256875
bad depression episode	40917007	0.14050087
heart monitor	22298006	0.40690193
heart monitor	224960004	0.2210699
ecg	22298006	0.5755749
ecg	224960004	0.07996172
irregular heartbeat	22298006	0.37344784
irregular heartbeat	224960004	0.29602456
blood tests	22298006	0.11727099
blood tests	224960004	0.26215032
blood pressure	224960004	0.2664183
sore stomach	224960004	0.37409717
tablet pregalin n sum	40917007	0.10274491
skyebeth	224960004	0.28652373
tests/ xrays	224960004	0.09206735
on.. search engine lol ... oh	224960004	0.06552158
panic disorder	224960004	0.21612094
ptsd	224960004	0.11925702
pain medication	224960004	0.1960249
severe mouth ulcers	224960004	0.1225656
mucous areas	224960004	0.21313423
nose etc	224960004	0.24475995
dermatology dept	224960004	0.05055521
blood tests	224960004	0.26215032
pemphigus vulgaris results	224960004	-0.01600065
proper diagnosis	224960004	0.1466127
right drug	224960004	0.20384462
azathioprine	224960004	-0.02203233
arms rash	224960004	0.24569482
terrible aches	224960004	0.37082046
anxiety tablet	40917007	0.27331793
cbt	40917007	0.20773453
huntingtons disease	60238002	0.10711303
severe panic attacks	60238002	0.23210807
neurological illnesses	60238002	0.28041643
n't twitch	60238002	0.68865436
everywhere hands feet	60238002	0.24076045
legs arms etc	60238002	0.3506011
health anxiety	60238002	0.31098858
tail spin	60238002	0.12031223
brain zaps	224960004	0.20926444
bisoprolol	22298006	0.15162434
ramipril	22298006	0.13948426
's prob	60119000	0.20318413
-/ joys	60119000	0.3898818
chronic ribcage	224960004	0.18517472
shoulder blades	224960004	0.17894018
quicks fixes ...	224960004	0.17873533
toe surgeries	16973004	0.4178192
big toe	16973004	0.44212347
hallux varus	16973004	0.30956382
big toe	16973004	0.44212347
correction surgery	16973004	0.29484504
big toe	16973004	0.44212347
hallux varus	16973004	0.30956382
revision surgery	16973004	0.19602889
1st toe	16973004	0.3971921
big toe	16973004	0.44212347
big toe joint	16973004	0.4173731
1st surgery	16973004	0.20322749
small bone	16973004	0.37379542
big toe	16973004	0.44212347
wrong tendon	16973004	0.5245145
stomach	271681002	0.7589104
stomach	162059005	0.70845723
benadryl	271681002	0.14038149
benadryl	162059005	0.20030992
high ankle sprain	90673000	0.23071232
big toe	90673000	0.2307833
initial sprain	90673000	0.24452333
lansoprazole	90673000	0.29447
throat irritation	90673000	0.4777259
lifestyle guidelines	90673000	0.03466702
topical relief /	90673000	0.35483992
throat inflammation	90673000	0.42971388
downwithacid	90673000	0.14333381
physical symptoms	26544005	0.33512643
physical symptoms linger	26544005	0.33161333
constant anx	26544005	0.16850491
brain fog	26544005	0.31461918
muscle weakness	26544005	1.
progressive muscle training	26544005	0.46161842
'm anxious	40917007	0.27743548
echo test	40917007	0.2852022
severe pain	76948002	0.9999999
late-stage dementia	76948002	0.25577238
'vicious circle	162059005	0.21675442
ibs	162059005	0.3698428
funny upset 'gripy	162059005	0.38392466
tummy ache	162059005	0.7580465
ibs	162059005	0.3698428
awful backache	162059005	0.37897208
ibs	162059005	0.3698428
sertraline	162059005	0.3041034
body works	162059005	0.22553557
mysterious ways @ times	162059005	0.23305863
brain tumor	22298006	0.24311802
chest pain equals heart attack	22298006	0.43716186
post partum anxiety	22298006	0.18493451
physical symptoms	22298006	0.233567
panic attack ...	22298006	0.2926091
yucky feeling	22298006	0.01602019
panic attacks	22298006	0.2978208
throat infection	271681002	0.36726025
throat infection	162059005	0.34693635
painful pain	271681002	0.58278465
painful pain	162059005	0.47044307
leaky bowl	271681002	0.27977383
leaky bowl	162059005	0.2521947
weird taste	271681002	0.37213352
weird taste	162059005	0.38904175
sugary toothpaste	271681002	0.21897516
sugary toothpaste	162059005	0.27767825
stomache acid	271681002	0.51521456
stomache acid	162059005	0.5686668
heart burn	271681002	0.47011343
heart burn	162059005	0.5194725
mirror mine	22298006	-0.08344992
great health self	22298006	0.03818214
hiatus hernia acid reflux	22298006	0.20760329
server pano attacks	22298006	0.2582026
body ...	22298006	-0.05588814
ca n't	60119000	0.15853156
ca n't	224960004	0.07919715
meditation cd 's	60119000	0.18972152
meditation cd 's	224960004	0.04162577
ascitis	40917007	0.18484367
hospital eg physiotherapy	40917007	0.08536167
awful disease	40917007	0.1731585
he was diag asd at	40917007	0.0290955
plaigocephaly and torticollis	40917007	0.10254213
was devestated when he was recently diag with the plaigo as	40917007	-0.06095298
have had concerns about his head shape from birth also	40917007	0.05222585
stiff neck	40917007	0.23157424
pead chiropractor by the health visitor logged when my son was less than	40917007	0.00361797
was mentally ill the gp said that they would offer support by giving me anixety pills	40917007	-0.07017151
just wanted to access services as my son has to be under constant supervision he has no speech he has never had speech therapy	40917007	0.05166829
was in and realising that this is real life and it was actually happening tried to look forward but	40917007	0.12144113
will not accept the diag of autism	40917007	0.12927166
bought my medical notes and it states rubella antibodys negetive so yes	40917007	0.02857104
get is hearing test difficult to assess mixed responses test again in	40917007	0.07707804
blood test for that even though he has had fbc	40917007	0.02295809
platelet count high clot in edta	40917007	0.05451704
severe health problems	224960004	0.28309664
tiredness fatigue	224960004	0.6508493
serious health probs	224960004	0.3571213
hopeless mum	224960004	0.19383603
shadow stories	224960004	0.12222351
immune problems	224960004	0.24271226
l regret	224960004	0.22216049
blood tests	224960004	0.26215032
m eccentric	224960004	0.2858179
toblerone yummy	224960004	0.13022545
blood tests	224960004	0.26215032
adrenal fatigue	224960004	0.58332
post exteriors malaise besides	224960004	0.20150328
% gluten	224960004	0.08261972
gluten haha	224960004	0.09030398
fruit intake	224960004	0.15408504
500mg vitamin c intake	224960004	0.02661458
symptoms subside	224960004	0.25214815
muscle tension	250069006	0.99999994
anxiety strikes	224960004	0.31364238
metronidazole	224960004	-0.03011391
stomach pain	271681002	0.89769244
weird horrid feeling	271681002	0.5179851
cefalexin	271681002	0.25518572
no nausea	271681002	0.4738583
cefalexin	271681002	0.25518572
dong test loads	224960004	0.20442735
chest -ray	224960004	0.14505711
ear lobes	90673000	0.18376571
blotchy rash	90673000	0.44864088
hydroxyzine	224960004	0.06002143
fexofenadine	224960004	0.15186447
gp	224960004	0.11459977
dermatologist	224960004	0.01958148
moderate high blood pressure	224960004	0.24375382
gp	224960004	0.11459977
ecg	224960004	0.07996172
tall t-waves	224960004	0.30596313
slight withdrawal symptoms	32914008	0.3410728
fulfilment d3 80gramsnper day	228158008	0.14769155
emotional reading	228158008	0.32964045
poor circulation	228158008	0.3906698
gp	228158008	0.14702259
gp	224960004	0.11459977
bits blood test	224960004	0.20496212
vit d	224960004	0.15742987
blood test	224960004	0.2722478
vitd deficiency	224960004	0.26253158
gall	60119000	0.20953502
gastric reflux	60119000	0.22602361
hiatus hernia	60119000	0.19746499
extreme tiredness	60119000	0.66141355
lung problems	22298006	0.22517608
'm gon na	22298006	0.10135426
ibs	224960004	0.10638386
agoraphobia	224960004	0.1069212
millyimp xx	224960004	0.32376882
coeliac disease	224960004	0.06167093
's accidental gluten	224960004	0.02815004
eg lactose	224960004	0.10798682
's ruling	224960004	0.11995211
l5-s1	2733002	0.34492174
right foot	2733002	0.3873523
heel pain	2733002	1.
heel hurt	2733002	0.8824762
big toe	2733002	0.45482525
pain hurts	2733002	0.60832524
mild arthritis	2733002	0.41776633
pain shoots	2733002	0.60177135
foot doctors	2733002	0.47502464
ankle hurts	2733002	0.58486176
gp	224960004	0.11459977
gp	22298006	0.03487403
nebuliser treatment	224960004	0.03422368
nebuliser treatment	22298006	0.13117921
n't breathe	224960004	0.26604497
n't breathe	22298006	0.11852787
tolerance test	224960004	0.2587968
tolerance test	22298006	0.15239452
ca n't	40917007	0.13866054
severe side	40917007	0.28830832
's feeling	40917007	0.27842176
'm feeling	40917007	0.2693862
ear infection	271587009	0.19832815
gp	271587009	0.09183733
ear problem	271587009	0.19478464
rainboy	224960004	0.02947348
rainboy	60119000	0.05746509
~i 'm	224960004	0.17252406
~i 'm	60119000	0.13770455
25yo female	224960004	0.2519544
nauseous etc etc	224960004	0.35971922
dehydration headache	224960004	0.2881851
mouth dry	224960004	0.27466565
mason jar	224960004	0.08363017
nasty flavours	224960004	0.19633959
salty citrus	224960004	0.12176537
's worth	224960004	0.15982509
bowel movement	224960004	0.16263719
moist toilet tissue etc	224960004	0.17784375
ibs	224960004	0.10638386
n't wretch	224960004	0.20060933
liquid bowel movements	224960004	0.17462026
husband woke	224960004	0.23595755
flimsy hospital gown	60119000	0.2420062
painful corner	60119000	0.186016
gurgley stomach noises	60119000	0.22261167
slight cramps	60119000	0.31852514
colonoscopy experience	60119000	0.24849221
drs	60119000	0.2740071
nervous patient	60119000	0.262271
distant memory	60119000	0.3202489
normal brain	22298006	0.07959346
massive heart attack	22298006	0.47242302
liver enzymes	405729008	0.15472147
viral infection	405729008	0.1476711
high fevers	405729008	0.19600639
darkish blood	405729008	0.26920396
severe depression	405729008	0.18874767
acid reflux	405729008	0.21983361
bowel cancer	405729008	0.20098525
abdominal pain	405729008	0.15032303
ibs	405729008	0.20004067
panic attacks	22298006	0.2978208
heart palpitations	22298006	0.44343412
gp	262286000	0.16061126
gp	224960004	0.11459977
inflammatory bowel clinic/specialist nurse	262286000	0.07003383
inflammatory bowel clinic/specialist nurse	224960004	-0.03923768
crohns	262286000	0.14898859
crohns	224960004	0.09572837
colitis	262286000	0.18397415
colitis	224960004	-0.0077634
ca n't	262286000	0.10090412
ca n't	224960004	0.07919715
crohns	262286000	0.14898859
crohns	224960004	0.09572837
colitis	262286000	0.18397415
colitis	224960004	-0.0077634
crohns	262286000	0.14898859
crohns	224960004	0.09572837
weight gain	262286000	0.737993
weight gain	224960004	0.26935804
immune suppresant type	262286000	0.06643376
