possibly some tiredness	224960004
really tired	224960004
tired most of the time	224960004
tiredness	224960004
tiredness 	224960004
tiredness or energetic	224960004
way to tired	224960004
alchohol cravings sometimes	228365005
crave alcohol	228365005
feel like all i want to do is drink	228365005
increased alcohol craving	228365005
increased craving for alcohol	228365005
slamming beers	228365005
urge to drink more alcohol	228365005
body fat	238131007
fat	238131007
getting fat 	238131007
overweight	238131007
concentration difficulties	247761005
concentration problems	247761005
difficult to concentrate	247761005
difficulty to concentrate	247761005
poorer concentration	247761005
trouble concentrating	247761005
at first gave me tons of energy	247779009
endless energy	247779009
excess energy	247779009
very energized	247779009
a lot of dreaming	247953009
dreams	247953009
dreams 'views' 	247953009
"dreams are , really vivid"	247953009
"dreams, remember them in such great detail"	247953009
extremely realistic/vivid dreams	247953009
having dreams	247953009
increased dreaming	247953009
increased memory of dreams	247953009
interesting dreams	247953009
long and vivid dreams	247953009
long very detailed dream	247953009
many dreams	247953009
really vivid dreams	247953009
unusual vivid dreams	247953009
vivid dreaming	247953009
vivid dreams	247953009
vivid dreams 	247953009
vivid dreams in the first week	247953009
vivid sexual dreams	247953009
 felt tight	263897001
a bit tense	263897001
become very fight or flight	263897001
chilled me out	263897001
not as easy going	263897001
edge of suicide	267073005
even more suicidal	267073005
increased suicidality	267073005
kiled myself	267073005
more suicidal	267073005
semi-suicidal state 	267073005
suicidal	267073005
suicidal 	267073005
suicidalness	267073005
suicide	267073005
explosive anger	274951009
extreme anger	274951009
fits of rage	274951009
once or twice a rage reaction	274951009
outbursts	274951009
ranting raging fits	274951009
very angry outbursts	274951009
 unmotivated	277521002
lack of drive	277521002
lack of drive motivation	277521002
lack of motivation	277521002
loss of motivation	277521002
no motivation	277521002
no motivation 	277521002
not motivation	277521002
wasn't motivated to do anything	277521002
zero motivation	277521002
balance my mood	286641001
foul mood	286641001
mood has improved	286641001
moodiness	286641001
moody	286641001
moody days	286641001
vastly increased moodiness	286641001
"alot of stomach problems, first week"	300306001
gastric symptoms	300306001
my stomach is a wreck	300306001
very hard on your stomach	300306001
aches and pains as if i have the flu	315642008
feel as though i had the flu	315642008
feel like a bad case of the flu 	315642008
feel like i have the flu	315642008
feels like you have the flu x 100 constantly for 2 weeks	315642008
flu like symptoms	315642008
"flu like symptoms, last so long"	315642008
flu like symptons	315642008
flu-like symptoms	315642008
strong flu like symptoms	315642008
"symptoms like the flu, last for a couple of days"	315642008
ability to ejaculate	386790008
abnormal ejaculation	386790008
ejaculating problems	386790008
ejaculation problems	386790008
impossible to ejaculate	386790008
inability to ejaculate during sex	386790008
trouble ejaculating	386790008
deep-end mania	405273008
highs	405273008
little bit manicky	405273008
mania	405273008
manic	405273008
manic episodes	405273008
mild mania	405273008
severe manic episodes	405273008
wanna go out or stay in bed	405273008
horrible nightmares	419145002
horrific nightmares	419145002
nighmares	419145002
nightmares	419145002
occasional bad nightmare	419145002
occasional nightmares every night for about 2 months	419145002
terrible dreams	419145002
terrible nightmares	419145002
bizarre dreams	419581008
crazy dreams	419581008
crazy dreams 	419581008
extremely vivid & bizarre dreams	419581008
freaky dreams for a few months	419581008
some strange dreams	419581008
strange dreams	419581008
"strange dreams, very vivid and colorful"	419581008
unusual dreams	419581008
very strange dreams	419581008
"very vivid, weird dreams"	419581008
wild dreams	419581008
"wild, life-like/real dreams"	419581008
wilder the dreams	419581008
"at first, nervousness"	424196004
edge	424196004
extreme nervousness	424196004
feel wired	424196004
high degree of nervousness	424196004
nervous	424196004
nervousness	424196004
very nervous	424196004
wired	424196004
blocked tears 	715039008
can't cry	715039008
inability to cry	715039008
"long term, can't cry"	715039008
"not that i'd want to be cry often; now, nothing"	715039008
 fall asleep at work	141000119100
all i wanted to do during the day was sleep	141000119100
daytime sleepiness	141000119100
fall asleep at work	141000119100
sleeping 2-3 hours during the day	141000119100
sleeping several times during the day	141000119100
would doze off at work at my desk and during meetings	141000119100
